Attributes,Accuracy,Count,Dataset
black_blue,0.7023809523809523,84,Visual Genome Attribution
black_brown,0.29523809523809524,105,Visual Genome Attribution
black_gray,0.5,60,Visual Genome Attribution
black_green,0.7380952380952381,84,Visual Genome Attribution
black_large,0.7021276595744681,47,Visual Genome Attribution
black_red,0.22580645161290322,31,Visual Genome Attribution
black_white,0.5463414634146342,205,Visual Genome Attribution
black_wood,0.75,52,Visual Genome Attribution
blue_black,0.696078431372549,102,Visual Genome Attribution
blue_brick,1.0,27,Visual Genome Attribution
blue_brown,0.8116883116883117,154,Visual Genome Attribution
blue_gray,0.6595744680851063,94,Visual Genome Attribution
blue_green,0.875,112,Visual Genome Attribution
blue_large,0.9078947368421053,76,Visual Genome Attribution
blue_red,0.5128205128205128,39,Visual Genome Attribution
blue_sitting,0.9666666666666667,30,Visual Genome Attribution
blue_standing,1.0,32,Visual Genome Attribution
blue_tall,1.0,34,Visual Genome Attribution
blue_white,0.7405857740585774,239,Visual Genome Attribution
blue_wood,0.7924528301886793,53,Visual Genome Attribution
blue_young,1.0,33,Visual Genome Attribution
brick_blue,0.92,25,Visual Genome Attribution
brown_black,0.7323943661971831,71,Visual Genome Attribution
brown_blue,0.8492063492063492,126,Visual Genome Attribution
brown_gray,0.6944444444444444,72,Visual Genome Attribution
brown_green,0.5588235294117647,136,Visual Genome Attribution
brown_large,0.7777777777777778,45,Visual Genome Attribution
brown_red,0.46153846153846156,26,Visual Genome Attribution
brown_small,0.76,25,Visual Genome Attribution
brown_tall,0.8333333333333334,36,Visual Genome Attribution
brown_white,0.5929203539823009,226,Visual Genome Attribution
brown_wood,0.696969696969697,33,Visual Genome Attribution
clear_brown,0.8518518518518519,27,Visual Genome Attribution
clear_green,0.96,25,Visual Genome Attribution
clear_large,0.88,25,Visual Genome Attribution
clear_white,0.8823529411764706,51,Visual Genome Attribution
cloudy_large,1.0,25,Visual Genome Attribution
dark_white,0.29411764705882354,51,Visual Genome Attribution
gray_black,0.5370370370370371,54,Visual Genome Attribution
gray_blue,0.7297297297297297,74,Visual Genome Attribution
gray_brown,0.5,58,Visual Genome Attribution
gray_green,0.8604651162790697,86,Visual Genome Attribution
gray_large,0.8085106382978723,47,Visual Genome Attribution
gray_red,0.41379310344827586,29,Visual Genome Attribution
gray_white,0.3565217391304348,115,Visual Genome Attribution
gray_wood,0.5957446808510638,47,Visual Genome Attribution
green_black,0.8793103448275862,58,Visual Genome Attribution
green_blue,0.9302325581395349,86,Visual Genome Attribution
green_brown,0.8925619834710744,121,Visual Genome Attribution
green_gray,0.8939393939393939,66,Visual Genome Attribution
green_large,0.8478260869565217,46,Visual Genome Attribution
green_red,0.68,25,Visual Genome Attribution
green_white,0.8880597014925373,134,Visual Genome Attribution
green_wood,0.7435897435897436,39,Visual Genome Attribution
happy_white,0.9285714285714286,28,Visual Genome Attribution
large_black,0.6538461538461539,52,Visual Genome Attribution
large_blue,0.9204545454545454,88,Visual Genome Attribution
large_brown,0.5,52,Visual Genome Attribution
large_cloudy,1.0,27,Visual Genome Attribution
large_gray,0.5952380952380952,42,Visual Genome Attribution
large_green,0.7285714285714285,70,Visual Genome Attribution
large_white,0.7045454545454546,88,Visual Genome Attribution
large_wood,0.5882352941176471,34,Visual Genome Attribution
long_white,0.8529411764705882,34,Visual Genome Attribution
metal_brown,0.4482758620689655,29,Visual Genome Attribution
metal_green,0.76,25,Visual Genome Attribution
metal_white,0.5581395348837209,43,Visual Genome Attribution
open_white,0.7419354838709677,31,Visual Genome Attribution
orange_white,0.75,32,Visual Genome Attribution
red_black,0.7647058823529411,34,Visual Genome Attribution
red_blue,0.9545454545454546,44,Visual Genome Attribution
red_brown,0.8095238095238095,42,Visual Genome Attribution
red_gray,0.7931034482758621,29,Visual Genome Attribution
red_green,0.84375,32,Visual Genome Attribution
red_large,0.7777777777777778,27,Visual Genome Attribution
red_white,0.84375,64,Visual Genome Attribution
silver_white,0.8421052631578947,38,Visual Genome Attribution
sitting_black,0.7777777777777778,27,Visual Genome Attribution
sitting_white,0.6,25,Visual Genome Attribution
small_brown,0.36666666666666664,30,Visual Genome Attribution
small_white,0.5957446808510638,47,Visual Genome Attribution
smiling_white,1.0,27,Visual Genome Attribution
standing_green,0.5142857142857142,35,Visual Genome Attribution
striped_white,0.7241379310344828,29,Visual Genome Attribution
tall_blue,1.0,49,Visual Genome Attribution
tall_green,0.6206896551724138,29,Visual Genome Attribution
white_black,0.49333333333333335,150,Visual Genome Attribution
white_blue,0.8640776699029126,206,Visual Genome Attribution
white_brown,0.5458515283842795,229,Visual Genome Attribution
white_clear,0.9545454545454546,44,Visual Genome Attribution
white_cloudy,0.96875,32,Visual Genome Attribution
white_dark,0.9473684210526315,38,Visual Genome Attribution
white_gray,0.7,130,Visual Genome Attribution
white_green,0.75177304964539,141,Visual Genome Attribution
white_happy,0.9428571428571428,35,Visual Genome Attribution
white_large,0.7349397590361446,83,Visual Genome Attribution
white_long,0.9642857142857143,28,Visual Genome Attribution
white_metal,0.875,32,Visual Genome Attribution
white_open,0.8888888888888888,27,Visual Genome Attribution
white_orange,0.56,25,Visual Genome Attribution
white_red,0.2711864406779661,59,Visual Genome Attribution
white_silver,0.7777777777777778,27,Visual Genome Attribution
white_sitting,0.967741935483871,31,Visual Genome Attribution
white_small,0.7575757575757576,33,Visual Genome Attribution
white_smiling,0.875,32,Visual Genome Attribution
white_standing,0.9259259259259259,27,Visual Genome Attribution
white_wood,0.75,140,Visual Genome Attribution
white_yellow,0.6,25,Visual Genome Attribution
white_young,1.0,28,Visual Genome Attribution
wood_black,0.9,50,Visual Genome Attribution
wood_blue,0.8490566037735849,53,Visual Genome Attribution
wood_gray,0.9333333333333333,30,Visual Genome Attribution
wood_green,0.8536585365853658,41,Visual Genome Attribution
wood_large,0.9285714285714286,28,Visual Genome Attribution
wood_white,0.8686131386861314,137,Visual Genome Attribution
yellow_blue,0.8529411764705882,34,Visual Genome Attribution
yellow_white,0.6052631578947368,38,Visual Genome Attribution
